fighter,Age,AvgSigStrLanded,AvgSigStrPct,AvgSubAtt,AvgTDLanded,AvgTDPct,CurrentLoseStreak,CurrentWinStreak,DecOdds,Draws,ExpectedValue,HeightCms,LongestWinStreak,Losses,Odds,ReachCms,TotalRoundsFought,TotalTitleBouts,WeightLbs,Wins,WinsByDecisionMajority,WinsByDecisionSplit,WinsByDecisionUnanimous,WinsByKO,WinsBySubmission,WinsByTKODoctorStoppage
Phil Hawes,33.0,4.79,0.5871428571428571,0.2571428571428571,2.2785714285714285,0.3514285714285714,0.5714285714285714,1.7142857142857142,500.0,0.0,87.34375714285716,182.87999999999997,3.857142857142857,2.0,-69.14285714285714,195.57999999999998,10.142857142857142,0.0,185.0,4.285714285714286,0.8571428571428571,0.0,0.7142857142857143,2.142857142857143,0.0,0.0
Felipe Bunes,34.0,5.25,0.54,0.0,3.15,0.33,0.0,0.0,800.0,0.0,220.0,170.18,0.0,0.0,220.0,175.26,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colby Covington,29.625,14.838535714285713,0.49693333333333334,0.2516333333333333,3.9183266666666667,0.5574666666666666,0.1875,2.25,118.92857142857143,0.0,64.95656,180.34,4.25,1.125,-213.33333333333334,182.88,21.75,0.8125,170.0,6.375,0.0,0.0,3.0625,1.75,1.5625,0.0
Josh Emmett,34.214285714285715,28.680261538461536,0.3683076923076923,0.18076923076923074,1.5205153846153847,0.3088461538461539,0.35714285714285715,1.5,333.3076923076923,0.0,135.82930769230768,167.63999999999993,2.642857142857143,1.5714285714285714,44.61538461538461,177.8,17.214285714285715,0.2857142857142857,145.0,4.928571428571429,0.0,1.1428571428571428,2.2142857142857144,1.5714285714285714,0.0,0.0
Tagir Ulanbekov,30.6,2.576,0.36,1.6800000000000002,2.968,0.368,0.2,0.8,1.25,0.0,32.219224999999994,169.672,1.4,0.4,-340.0,175.768,5.6,0.0,125.0,1.6,0.0,0.6,0.8,0.0,0.2,0.0
Tim Elliott,30.95,32.224961111111114,0.4553157894736842,1.2138684210526314,3.65418947368421,0.4999473684210526,1.0,0.55,317.0,0.0,157.89483,170.17999999999998,1.75,5.85,19.3,167.63999999999996,25.45,0.65,131.0,3.65,0.0,0.0,3.15,0.0,0.5,0.0
Andre Muniz,31.5,2.04,0.5325,1.3875,3.7412500000000004,0.45,0.375,2.875,421.25,0.0,80.3150125,185.42,4.625,0.375,-115.25,198.12,9.625,0.0,185.0,4.625,0.0,0.0,2.0,0.0,2.625,0.0
HyunSung Park,27.5,4.15,0.44,2.6,1.54,0.27,0.0,2.5,192.5,0.0,48.50835,170.18,2.5,0.0,-206.5,167.64,3.5,0.5,125.0,2.5,0.0,0.0,0.0,1.0,1.5,0.0
Shannon Ross,33.666666666666664,5.96,0.38999999999999996,0.0,0.0,0.0,2.0,0.0,656.6666666666666,0.0,306.0,167.64,0.0,2.0,306.0,167.64,3.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephanie Egger,33.42857142857143,1.82,0.4028571428571429,0.42857142857142855,2.0585714285714287,0.34285714285714286,0.42857142857142855,0.5714285714285714,223.57142857142858,0.0,92.84032857142857,168.00285714285715,1.2857142857142858,1.4285714285714286,-64.28571428571429,172.35714285714286,5.714285714285714,0.0,135.0,1.5714285714285714,0.0,0.0,0.0,0.7142857142857143,0.8571428571428571,0.0
